"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"41","God bless us #selamatUTS (at Gedung Akuntansi Politeknik Negeri Bandung) — https://t.co/oQLb2fqBAx",FALSE,0,NA,2016-10-30 23:48:54,FALSE,NA,"792875960341110784",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","lydiaLIDII",0,FALSE,FALSE,107.57326,-6.87337
"44","hoream menghadapi hari ini anjirlah! (with Nidia Mutiara at Kostan Tengah VII 53D) — https://t.co/TBmpQLShT6",FALSE,0,NA,2016-10-30 23:47:34,FALSE,NA,"792875623194636288",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","astimeidy",0,FALSE,FALSE,107.59092,-6.86695
"46","<ed><U+00A0><U+00BD><ed><U+00BA><U+0097><ed><U+00A0><U+00BD><ed><U+00BA><U+0095><ed><U+00A0><U+00BD><ed><U+00BA><U+0099><ed><U+00A0><U+00BD><ed><U+00BA><U+008C><ed><U+00A0><U+00BD><ed><U+00BA><U+008E><ed><U+00A0><U+00BD><ed><U+00BA><U+0091><ed><U+00A0><U+00BD><ed><U+00BA><U+0092><ed><U+00A0><U+00BD><ed><U+00BA><U+0090><ed><U+00A0><U+00BD><ed><U+00BA><U+009A><ed><U+00A0><U+00BD><ed><U+00BA><U+009B> <U+266B> We Don’t Talk Anymore (feat. Selena Gomez) by Charlie Puth (at minimi house) — https://t.co/C9paLCDadl",FALSE,0,NA,2016-10-30 23:45:47,FALSE,NA,"792875176312483841",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","fridawibisono",0,FALSE,FALSE,107.65906,-6.94574
"47","Sarapan dl #tumben (with Prima""angga"" at Bubur PMI) — https://t.co/FfrEbFHFhs",FALSE,0,NA,2016-10-30 23:45:40,FALSE,NA,"792875146444877824",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","uchie_dokter",0,FALSE,FALSE,107.62054,-6.90895
"48","Barakallah, Ayah....
37 tahun yang lalu, Allah kirim Ayah ke bumi… (w/ Irwan at Jalan teratai mekar 8) [pic] — https://t.co/n3LYqt8bMC",FALSE,0,NA,2016-10-30 23:44:23,FALSE,NA,"792874822829084672",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","rita_anggoro",0,FALSE,FALSE,107.69875,-6.9267
"49","Kaya kepagian (at Fakultas Pendidikan Ilmu Pengetahuan Sosial (FPIPS)) — https://t.co/vCSrY9A5ZU",FALSE,0,NA,2016-10-30 23:43:57,FALSE,NA,"792874714322472960",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","DiahIstikomah",0,FALSE,FALSE,107.5928,-6.86149
"53","With Giri at SMK Negeri 2 Bandung — https://t.co/Gvp6J2sbeK",FALSE,0,NA,2016-10-30 23:43:00,FALSE,NA,"792874476253818880",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","BobScuadz",0,FALSE,FALSE,107.6229,-6.9044
"55","At SMA BPI 2 Bandung — https://t.co/iuyHWDRyAt",FALSE,0,NA,2016-10-30 23:42:35,FALSE,NA,"792874368573452288",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","HanifaAulia_H",0,FALSE,FALSE,107.61915,-6.92418
"56","bljr mandiri<ed><U+00A0><U+00BD><ed><U+00B8><U+0082> (at Bubur ayam gerlong tengah) — https://t.co/x9gExqBtoj",FALSE,0,NA,2016-10-30 23:42:10,FALSE,NA,"792874265724936192",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","NurfitriNadia",0,FALSE,FALSE,107.5889,-6.86906
"59","belajar mandiri<ed><U+00A0><U+00BD><ed><U+00B8><U+0082> (at Burayut Enhaii (Bubur Ayam Yahutt)) — https://t.co/XhfULxnI4i",FALSE,0,NA,2016-10-30 23:39:40,FALSE,NA,"792873638022172672",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","NurfitriNadia",0,FALSE,FALSE,107.58884,-6.86911
"64","UTS bodo amat wkwkwkwk (with PUNGGAWA KEUANGAN NEGARA at Gedung Keuangan Negara (GKN)) — https://t.co/ZibW66MrUL",FALSE,0,NA,2016-10-30 23:37:31,FALSE,NA,"792873094817861632",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","dwptraaa",0,FALSE,FALSE,107.61079,-6.92189
"65","Nyubuh y hehe (at Kampus FPOK UPI Padasuka) — https://t.co/G5GZdRIX9w",FALSE,0,NA,2016-10-30 23:37:20,FALSE,NA,"792873047816441856",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","sitaadji",0,FALSE,FALSE,107.652,-6.90296
"72","Beli Bisnis, dikasih eksekutif.. Rezeki mah ga kemanaaaa.. <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> 

*keliatannya sih sosialisasi… (at @kai121) [pic] — https://t.co/Fg8ie6AUDP",FALSE,0,NA,2016-10-30 23:32:45,FALSE,NA,"792871896819785728",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","adrian_rizkal",0,FALSE,FALSE,107.6025,-6.91436
"73","Semangat pagi dari Soekarno Hatta 447.

Yeaaayy.. it's Monday, one small positive… (at Oriflame Bandung Office) — https://t.co/CQAFTOHhc4",FALSE,0,NA,2016-10-30 23:32:42,FALSE,NA,"792871883486048256",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","RomyR__",0,FALSE,FALSE,107.61364,-6.94841
"75","All We Know (feat. Phoebe Ryan) by The Chainsmokers (at SMAK BPK Penabur Holis) — https://t.co/HPSv9gwdL2",FALSE,1,NA,2016-10-30 23:32:29,FALSE,NA,"792871830491045888",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","RealMarcell_",0,FALSE,FALSE,107.56026,-6.9266
"76","Selamat senin. (at @smanempatbdg) — https://t.co/L5FgKsdtpa",FALSE,0,NA,2016-10-30 23:31:17,FALSE,NA,"792871527611891712",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","andhikafauz",0,FALSE,FALSE,107.59952,-6.91847
