"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"17","besok !! <ed><U+00A0><U+00BD><ed><U+00B8><U+0086><ed><U+00A0><U+00BD><ed><U+00B8><U+0086><ed><U+00A0><U+00BD><ed><U+00B8><U+0086><ed><U+00A0><U+00BD><ed><U+00B8><U+0086> (with Rismat, arfien, and Ria) [pic] — https://t.co/LrZlll402W",FALSE,0,NA,2016-10-30 23:56:45,FALSE,NA,"792877936734932992",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","rarablessd",0,FALSE,FALSE,NA,NA
"18",":) - Talk and Love — https://t.co/JXXi2BA52k",FALSE,0,NA,2016-10-30 23:56:41,FALSE,NA,"792877919970353152",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","xkevinrenaldix",0,FALSE,FALSE,NA,NA
"19","huaa<ed><U+00A0><U+00BD><ed><U+00B2><U+00A4> (at Fakultas Hukum) — https://t.co/kxbWSMBQwI",FALSE,0,NA,2016-10-30 23:56:19,FALSE,NA,"792877827569836032",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","Junisihombing",0,FALSE,FALSE,"107.60924","-6.9269"
"20","Disetiap kesempitan, selalu ada kesempatan. Disetiap masalah, selalu ada solusi. Yg… - Shelly and Shelby — https://t.co/sVBNHNnHj6",FALSE,0,NA,2016-10-30 23:55:27,FALSE,NA,"792877609998651392",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","susirahardja",0,FALSE,FALSE,NA,NA
"21","Akhirnyaaaaaaaaa coming back to go home talun city hahahaha yayteuingngomongnawn<ed><U+00A0><U+00BD><ed><U+00B8><U+00B6> (at talun - rancaekek) — https://t.co/RzD6wms0L5",FALSE,0,NA,2016-10-30 23:54:49,FALSE,NA,"792877450879340545",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","deaannisafitri2",0,FALSE,FALSE,"107.77027","-6.95977"
"22","#pathdaily (at Pt Three Six World) [pic] — https://t.co/HvHnYHhZq6",FALSE,0,NA,2016-10-30 23:54:22,FALSE,NA,"792877336353837057",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","NurlaylaE",0,FALSE,FALSE,"107.26186","-6.81373"
"23","With Muhammad Azharil  at @sma_angkasabdg — https://t.co/Kadqh2d6FU",FALSE,0,NA,2016-10-30 23:54:16,FALSE,NA,"792877309413892096",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","muthiautari",0,FALSE,FALSE,"107.58228","-6.90669"
"24","Senin semangat weekend msh lamaaa:( (at Pt Three Six World) — https://t.co/ELuf7N4JwK",FALSE,0,NA,2016-10-30 23:53:17,FALSE,NA,"792877065246613504",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","NurlaylaE",0,FALSE,FALSE,"107.26168","-6.8137"
"25","Hello mon(ster)day! <U+266B> Want U 2 by Marshmello (at BNIS Surakarta) — https://t.co/tZSRHer7mx",FALSE,0,NA,2016-10-30 23:52:47,FALSE,NA,"792876939379781632",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","fajar067",0,FALSE,FALSE,NA,NA
"26","<ed><U+00A0><U+00BD><ed><U+00B1><U+00A6>:are u okay?
<ed><U+00A0><U+00BD><ed><U+00B1><U+00A7>:No! (at Lecture Hall UIN SGD Bandung) — https://t.co/zVmGMSPGie",FALSE,0,NA,2016-10-30 23:52:32,FALSE,NA,"792876875404029953",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","soniianabila",1,FALSE,FALSE,"107.72059","-6.93208"
"27","Bans dungs agains!! #MrRentCar (at RSIA Hermina Pasteur) — https://t.co/9xaHnitqTL",FALSE,0,NA,2016-10-30 23:52:11,FALSE,NA,"792876787717906432",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","ronipantjarian",0,FALSE,FALSE,"107.58826","-6.89495"
"28","Superhedon 24 hours till drop !!!

Superhectic dikejar2 waktu,, ditengah… (w/ Indra, Niko, &amp; 2 others) [pic] — https://t.co/gK1VGeaooa",FALSE,0,NA,2016-10-30 23:51:51,FALSE,NA,"792876702598692864",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","dr_endryspidey",0,FALSE,FALSE,NA,NA
"29","ngapain? (at @upiofficial) — https://t.co/y0qs5SGFy7",FALSE,0,NA,2016-10-30 23:51:05,FALSE,NA,"792876508117217280",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","intaonta",0,FALSE,FALSE,"107.5936","-6.86208"
"30","Happy Monday... [pic] — https://t.co/1zhq67TAk3",FALSE,0,NA,2016-10-30 23:50:34,FALSE,NA,"792876380820156417",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","Aini_Rafghani",0,FALSE,FALSE,NA,NA
"31","Morning [vid] — https://t.co/vrlj1GpqeT",FALSE,0,NA,2016-10-30 23:50:17,FALSE,NA,"792876310129369088",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","sunnysofwan",0,FALSE,FALSE,NA,NA
"32","Gymnastic (at Sports Hall UPI) — https://t.co/bH0rYcOLnP",FALSE,0,NA,2016-10-30 23:50:16,FALSE,NA,"792876304664178688",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","firman_datas",0,FALSE,FALSE,"107.58955","-6.85971"
"33","innalillahi wainnailaihi ro'jiun

telah berpulang ke rahmatulloh, ibunda… (w/ Nurrs, Munggaran, &amp; 103 others) — https://t.co/PFCmIp039i",FALSE,0,NA,2016-10-30 23:49:46,FALSE,NA,"792876180089081856",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","anggrian_hendra",0,FALSE,FALSE,NA,NA
"34","jomblo sans <U+266B> Dari Mata by Jaz (at XI IPA 4 SMA Pasundan 1 Bandung) — https://t.co/pvwU5C7Mfw",FALSE,0,NA,2016-10-30 23:49:38,FALSE,NA,"792876146266255360",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","falzahsnurfaa",0,FALSE,FALSE,"107.6075","-6.92373"
"35","Segini juga udah kek lari maraton<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> efek arang olahraga<ed><U+00A0><U+00BD><ed><U+00B8><U+0085><ed><U+00A0><U+00BD><ed><U+00B8><U+0085> [pic] — https://t.co/1dJz2n8GT6",FALSE,0,NA,2016-10-30 23:49:36,FALSE,NA,"792876138024488961",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","nurqillaa",0,FALSE,FALSE,NA,NA
"36","Gamau<ed><U+00A0><U+00BD><ed><U+00B8><U+00AB> (with Alma at SMA Pasundan 1 Bandung) — https://t.co/e0hpwwqs0D",FALSE,0,NA,2016-10-30 23:49:34,FALSE,NA,"792876126406193152",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","SyaviraFebria1",0,FALSE,FALSE,"107.60309","-6.94677"
"37","<U+2615><U+FE0F><ed><U+00A0><U+00BC><ed><U+00BD><U+009E> <U+266B> The Greatest by Sia — https://t.co/LjUz1BZ0Qf",FALSE,0,NA,2016-10-30 23:49:33,FALSE,NA,"792876122669146112",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","bhenysyaputra",0,FALSE,FALSE,NA,NA
"38",".. (at @smkn4bdg) — https://t.co/SM0FPHjAZE",FALSE,0,NA,2016-10-30 23:49:29,FALSE,NA,"792876107527655424",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","MinaauraA",0,FALSE,FALSE,"107.62902","-6.94108"
"39","Pagi.. semangat <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA> (with NIAA) [pic] — https://t.co/ElkRmGpuOM",FALSE,0,NA,2016-10-30 23:49:27,FALSE,NA,"792876096752529408",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","FatimahKSN",0,FALSE,FALSE,NA,NA
"40","krikk..krikk.. (at BRI unit sudirman) [pic] — https://t.co/Zvanm9WnDM",FALSE,0,NA,2016-10-30 23:49:17,FALSE,NA,"792876057787379713",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","MeyatloveDian",0,FALSE,FALSE,"107.57664","-6.91799"
"41","God bless us #selamatUTS (at Gedung Akuntansi Politeknik Negeri Bandung) — https://t.co/oQLb2fqBAx",FALSE,0,NA,2016-10-30 23:48:54,FALSE,NA,"792875960341110784",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","lydiaLIDII",0,FALSE,FALSE,"107.57326","-6.87337"
"42","Selamat pagi kamuuhh...  <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>
Sudahkah kita bersyukur di pagi ini? 

#MakaNikmatManaLagiYangKauDustakan? [pic] — https://t.co/BdMilI1Glg",FALSE,0,NA,2016-10-30 23:47:53,FALSE,NA,"792875704996114432",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","EllianaSusan",0,FALSE,FALSE,NA,NA
"43","Monday's booster .. <U+2764> <U+266B> Fearless by @taylorswift13 — https://t.co/vWj2JIyBlK",FALSE,0,NA,2016-10-30 23:47:47,FALSE,NA,"792875680321069056",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","riskaagnes",0,FALSE,FALSE,NA,NA
"44","hoream menghadapi hari ini anjirlah! (with Nidia Mutiara at Kostan Tengah VII 53D) — https://t.co/TBmpQLShT6",FALSE,0,NA,2016-10-30 23:47:34,FALSE,NA,"792875623194636288",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","astimeidy",0,FALSE,FALSE,"107.59092","-6.86695"
"45","G Morning! <U+266B> The Heart Wants What It Wants by Selena Gomez — https://t.co/ehP4i8ClNy",FALSE,0,NA,2016-10-30 23:46:21,FALSE,NA,"792875318176419840",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","dessyanggra",0,FALSE,FALSE,NA,NA
"46","<ed><U+00A0><U+00BD><ed><U+00BA><U+0097><ed><U+00A0><U+00BD><ed><U+00BA><U+0095><ed><U+00A0><U+00BD><ed><U+00BA><U+0099><ed><U+00A0><U+00BD><ed><U+00BA><U+008C><ed><U+00A0><U+00BD><ed><U+00BA><U+008E><ed><U+00A0><U+00BD><ed><U+00BA><U+0091><ed><U+00A0><U+00BD><ed><U+00BA><U+0092><ed><U+00A0><U+00BD><ed><U+00BA><U+0090><ed><U+00A0><U+00BD><ed><U+00BA><U+009A><ed><U+00A0><U+00BD><ed><U+00BA><U+009B> <U+266B> We Don’t Talk Anymore (feat. Selena Gomez) by Charlie Puth (at minimi house) — https://t.co/C9paLCDadl",FALSE,0,NA,2016-10-30 23:45:47,FALSE,NA,"792875176312483841",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","fridawibisono",0,FALSE,FALSE,"107.65906","-6.94574"
"47","Sarapan dl #tumben (with Prima""angga"" at Bubur PMI) — https://t.co/FfrEbFHFhs",FALSE,0,NA,2016-10-30 23:45:40,FALSE,NA,"792875146444877824",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","uchie_dokter",0,FALSE,FALSE,"107.62054","-6.90895"
"48","Barakallah, Ayah....
37 tahun yang lalu, Allah kirim Ayah ke bumi… (w/ Irwan at Jalan teratai mekar 8) [pic] — https://t.co/n3LYqt8bMC",FALSE,0,NA,2016-10-30 23:44:23,FALSE,NA,"792874822829084672",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","rita_anggoro",0,FALSE,FALSE,"107.69875","-6.9267"
"49","Kaya kepagian (at Fakultas Pendidikan Ilmu Pengetahuan Sosial (FPIPS)) — https://t.co/vCSrY9A5ZU",FALSE,0,NA,2016-10-30 23:43:57,FALSE,NA,"792874714322472960",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","DiahIstikomah",0,FALSE,FALSE,"107.5928","-6.86149"
"50","Stuck disini <ed><U+00A0><U+00BD><ed><U+00B8><U+00A5>, telat atuh yaa <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> (at Jalan Jakarta) — https://t.co/KHJk2UNVyO",FALSE,0,NA,2016-10-30 23:43:43,FALSE,NA,"792874655824486401",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","vivisavitri2",0,FALSE,FALSE,NA,NA
"51","A-Yo by @ladygaga — https://t.co/9ha5Rzbchx",FALSE,0,NA,2016-10-30 23:43:13,FALSE,NA,"792874531509592064",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","benegiovandra",0,FALSE,FALSE,NA,NA
"52","<ed><U+00A0><U+00BD><ed><U+00B0><U+0087><ed><U+00A0><U+00BD><ed><U+00B0><U+0087> <U+266B> Body Moves by DNCE — https://t.co/Ehkb9uKjin",FALSE,0,NA,2016-10-30 23:43:08,FALSE,NA,"792874509598470144",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","pinaaaass",0,FALSE,FALSE,NA,NA
"53","With Giri at SMK Negeri 2 Bandung — https://t.co/Gvp6J2sbeK",FALSE,0,NA,2016-10-30 23:43:00,FALSE,NA,"792874476253818880",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","BobScuadz",0,FALSE,FALSE,"107.6229","-6.9044"
